quantile,L2,MSE,MAE,Spearman,Pearson,pert_id,n_batches_pert
0.1,3.751407300230661,0.0021194366295804127,0.03549942883699199,0.5664254153844906,0.5891397557841351,ENSG00000001084,35
0.2,4.057286254297992,0.002479161594313935,0.03815300493656243,0.609963843791311,0.631070590514813,ENSG00000001084,35
0.5,4.3321690981437575,0.0028264596597655824,0.04067808454569342,0.6577476994628935,0.6830316165865964,ENSG00000001084,35
0.8,4.6429819837975135,0.0032465909883910874,0.04352857018214535,0.6824821537830503,0.7058067402275298,ENSG00000001084,35
0.9,4.765913779347599,0.003420775656846275,0.044896602784847375,0.7053677786991159,0.7295221281353678,ENSG00000001084,35
0.99,5.0233807760554985,0.00380037110826339,0.047281937501435375,0.7712135126317831,0.7967358697422139,ENSG00000001084,35
0.995,5.075496092594931,0.003880034858580859,0.04787722964761229,0.7722323117013309,0.7978964351797465,ENSG00000001084,35
0.1,3.3577502368905963,0.0016979804339996942,0.03135422560804935,0.78560047984631,0.8569280653519556,ENSG00000001497,42
0.2,3.5366849500211543,0.0018837561438615653,0.03355098815910884,0.7959047226086435,0.8672037753309971,ENSG00000001497,42
0.5,3.975752787525515,0.0023805201448444616,0.0373032514831088,0.812581296524286,0.8860867037649457,ENSG00000001497,42
0.8,4.218729674866093,0.0026803888642765315,0.039483020642403395,0.8456245527779768,0.9091901048101306,ENSG00000001497,42
0.9,4.786719056197264,0.0034511931086112888,0.044711444886419975,0.8529724674828929,0.9168910452447754,ENSG00000001497,42
0.99,5.471563516802636,0.004508739386429901,0.0514133988710092,0.8646308385329771,0.925753086137772,ENSG00000001497,42
0.995,5.49500781996636,0.004547540915751015,0.05152883974939365,0.8654412908154082,0.9269879294237292,ENSG00000001497,42
0.1,4.497278463929766,0.0030460182182564747,0.04260811086143045,0.6430427850742407,0.6868378527124955,ENSG00000003509,27
0.2,4.729658440740144,0.003368927342579619,0.04493309729818173,0.6580011465942047,0.7049616144174834,ENSG00000003509,27
0.5,5.679130061057919,0.0048573204557147195,0.053745211969375824,0.712360053342562,0.7662268791713434,ENSG00000003509,27
0.8,6.074033513763867,0.0055563081837141865,0.057148997066657305,0.7405634624239223,0.7936240114158679,ENSG00000003509,27
0.9,6.2141486186598165,0.005815615150359331,0.058041192472371085,0.7549714045645686,0.7985565588095025,ENSG00000003509,27
0.99,6.4539108548875515,0.006273092250538634,0.06035829333960194,0.7638830744956862,0.8125184654519557,ENSG00000003509,27
0.995,6.54924559852187,0.006461128047209713,0.06140669157596114,0.7641975142181928,0.8135524882927506,ENSG00000003509,27
0.1,4.035162775322912,0.0024528946767550237,0.038052175005566104,0.6847667292471746,0.7310644767082105,ENSG00000004487,28
0.2,4.321175236971217,0.0028121331167926976,0.040969313534266284,0.7263208557475499,0.7597811512742731,ENSG00000004487,28
0.5,5.004318337580152,0.003771632154921727,0.046951610378588166,0.752599479759039,0.8042026246781815,ENSG00000004487,28
0.8,5.413110918905667,0.004412919232941676,0.05092006416485981,0.7926576276932226,0.8362303832406082,ENSG00000004487,28
0.9,5.601610938548625,0.004725643531714434,0.05319748582923075,0.8142718709812649,0.8520083783446517,ENSG00000004487,28
0.99,5.999580429583814,0.005420931130600038,0.056446802163858334,0.8377903575877423,0.8714738158347372,ENSG00000004487,28
0.995,6.0203183042141015,0.0054585348240314925,0.05672457716486769,0.8478118685170695,0.8804848556583176,ENSG00000004487,28
0.1,3.9688277500242637,0.0023722355824265635,0.036959478119219444,0.7566697428623345,0.8249865303098113,ENSG00000004779,38
0.2,4.193918767546107,0.0026490695338148075,0.03932234622769581,0.7711021022865077,0.8432326678510822,ENSG00000004779,38
0.5,4.445813254070259,0.002976695820214524,0.04182363865003237,0.7974423877090829,0.860840734215339,ENSG00000004779,38
0.8,4.743022605590005,0.00338872549050648,0.04428579065449405,0.8143713257005447,0.8757745820839895,ENSG00000004779,38
0.9,5.250606664776356,0.004165761178651075,0.048747917135478415,0.8176701795004698,0.8790575158647467,ENSG00000004779,38
0.99,6.2753135291738005,0.00593066816741186,0.058210217642458865,0.8254199495192618,0.8852161378340377,ENSG00000004779,38
0.995,6.3188952802804765,0.006013610738444564,0.058563419300361,0.8260756920222857,0.8858605043801251,ENSG00000004779,38
0.1,6.458908803580808,0.006299030005989678,0.060613102878394505,0.6187815862413233,0.6443734197868001,ENSG00000004897,8
0.2,7.50407558007718,0.008485860594004276,0.06980550818490233,0.6848888509389681,0.7077758966824156,ENSG00000004897,8
0.5,9.408267129144374,0.013332623117783788,0.08759808748206757,0.7859104954430614,0.805996925674392,ENSG00000004897,8
