quantile,L2,MSE,MAE,Spearman,Pearson,pert_id,n_batches_pert
0.1,3.0781810937254903,0.0014269886807889544,0.028986946629799087,0.5506046517920972,0.582759736789583,ENSG00000001084,55
0.2,3.130163411227721,0.0014756127610065569,0.02951688344781576,0.5618353994417259,0.5943939207137909,ENSG00000001084,55
0.5,3.2948952855693374,0.0016349956081759304,0.031198650623319533,0.5954529141951792,0.6287832268381837,ENSG00000001084,55
0.8,3.4910316051989314,0.001835448913634898,0.03274541217727175,0.6273350514698106,0.6577951165508392,ENSG00000001084,55
0.9,3.585882124415733,0.0019365300133257865,0.03373700405357066,0.6449648169816602,0.6811844503479072,ENSG00000001084,55
0.99,3.691935015666479,0.0020528109916929747,0.03456062658371859,0.6603719017049723,0.6993535143359934,ENSG00000001084,55
0.995,3.7753041777911225,0.0021475922386308766,0.03539656404811224,0.6659658555382059,0.7050261432930137,ENSG00000001084,55
0.1,4.876934713729361,0.0035820547165242135,0.04456866691106717,0.824495067610173,0.9109810653761297,ENSG00000001497,28
0.2,4.971336147447229,0.0037220155280270717,0.04617925219323697,0.8363163550438558,0.9201169289144193,ENSG00000001497,28
0.5,5.201806329070869,0.004075120334744784,0.04848127701994613,0.8489985493870852,0.9238767335114351,ENSG00000001497,28
0.8,5.348734974200022,0.004308580368563265,0.04980584348175779,0.8560229897187153,0.9285794372482883,ENSG00000001497,28
0.9,5.607966839803124,0.004753249346261149,0.05219599148439442,0.8599202857417576,0.9319992602714804,ENSG00000001497,28
0.99,6.923568543170776,0.007219248725579243,0.06279742143576551,0.8692465641992956,0.9353436273337823,ENSG00000001497,28
0.995,6.939430607697386,0.007252402687811671,0.06331996292593786,0.8702285810640239,0.9359114117568728,ENSG00000001497,28
0.1,5.940342542038009,0.0053144182661699554,0.055908005105426935,0.6911734675305744,0.762690926437963,ENSG00000003509,17
0.2,6.241108095101522,0.005866230594200746,0.05864838896914183,0.7306387956538818,0.7815237357017868,ENSG00000003509,17
0.5,7.277426059031357,0.007976071429929836,0.06831948844394378,0.7574516071690277,0.8241113660246053,ENSG00000003509,17
0.8,8.027096945876293,0.009703963009513716,0.07504833338242578,0.8177567483795155,0.8693473361282475,ENSG00000003509,17
0.9,8.578644409231902,0.011083313253467335,0.08050110186170696,0.8231144482161221,0.8810532554063163,ENSG00000003509,17
0.99,8.893294548067075,0.011911248216551087,0.08455828303072842,0.8299508199877516,0.8860169905132241,ENSG00000003509,17
0.995,8.89572779412954,0.011917767925835094,0.08456184733632473,0.8299736125001775,0.8865530949493045,ENSG00000003509,17
0.1,2.95789403125526,0.001317641642051741,0.02783030837482016,0.6508814876935124,0.7108603359629228,ENSG00000004487,54
0.2,3.0661834930175917,0.001415898509899311,0.028912234290761226,0.6734395054632671,0.7295506473092133,ENSG00000004487,54
0.5,3.3359801618615847,0.001676018764733671,0.03147170726083849,0.6970964205816625,0.7639845252580417,ENSG00000004487,54
0.8,3.7358181155226817,0.0021052594699689947,0.034867004076160994,0.7193002725790675,0.7823279500211705,ENSG00000004487,54
0.9,4.267800521997941,0.0027430913796143573,0.039582176881712026,0.7316533451956428,0.7931304775910636,ENSG00000004487,54
0.99,4.365950052532608,0.0028707128964206847,0.0409139665166081,0.7637650520278532,0.8209585547139576,ENSG00000004487,54
0.995,4.384411711196615,0.002895092435486535,0.04106126963817611,0.7696813586073314,0.8246738587733359,ENSG00000004487,54
0.1,3.68296392406936,0.0020428495354229597,0.03446045148299515,0.7996037508986615,0.9009857255208272,ENSG00000004779,36
0.2,3.9136876522975075,0.002306772242021701,0.03669199109139482,0.8186963954294281,0.9148487274558567,ENSG00000004779,36
